Left-side Question prompt,Nurses' Note,Vital Signs,Orders,Right-side Question Prompt,Question instruction,Medication,Drug Classification,Client Teaching,Correct Answer,Explanation,Difficulty level,Avg. Peers Score,Time taken,Subject,Lesson,Client need area,Client need topic,Question type,Additional Info,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Question Template
The following scenario applies to the next 1 items,"1100: Client reports severe abdominal pain, bloating, and constipation for the past week. He has a history of irritable bowel syndrome (IBS). Upon assessment, the client appears in mild distress with a distended abdomen.",Oral temperature 98.5° F (36.9° C) Pulse 88/minute Respirations 18/minute Blood pressure 120/70 Pulse oximetry reading 98% on room air,"Abdominal X-ray stat CBC, BMP Polyethylene glycol 17 grams PO daily Senna 8.6 mg PO BID PRN constipation",The nurse prepares to administer polyethylene glycol as prescribed.,Select the appropriate nursing interventions and considerations for administering polyethylene glycol.,1. Cyclobenzaprine; 2. Ibuprofen; 3. MRI;,"1a) Muscle relaxant
1b) Analgesic
1c) Anti-inflammatory
2a) NSAID
2b) Opioid analgesic
2c) Antipyretic
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). Monitor for signs of gastrointestinal bleeding.
1b). Assess for relief of pain and swelling.
1c). Instruct the client to take with food to reduce gastric irritation.
2a). Monitor blood pressure before and after administration.
2b). Instruct the client to sit or lie down during administration.
2c). Assess for relief of chest pain.
3a). Monitor for signs of allergic reaction.
3b). Assess for relief of symptoms.
3c). Instruct the client to report any signs of tendon pain or inflammation.","1c). Instruct the client to take with food to reduce gastric irritation.
2a). Monitor blood pressure before and after administration.
3b). Assess for relief of symptoms.","Polyethylene glycol is an osmotic laxative used to treat constipation by increasing the amount of water in the intestinal lumen, resulting in bowel movements. The nurse must monitor the client for signs of electrolyte imbalance, assess for relief of constipation, and instruct the client to mix the powder with 8 ounces of water for proper administration.",Medium,3/6,4 mins,Gastrointestinal,IBS Management,Physiological Integrity,Constipation Relief,Multiple Choice,,"Nurses Note: 0900, Client with severe lower back pain",history of herniated disc.,"Vital Signs: Blood pressure 130/80, Pulse 84.",Orders: Cyclobenzaprine for muscle spasms.,Client Teaching: Monitor for signs of drowsiness.,close_drop_down_2
The following scenario applies to the next 1 items,"0700: Client presents with complaints of severe headache, fever, and photophobia. He has a history of meningitis. Upon assessment, the client appears in distress with nuchal rigidity and a positive Brudzinski sign.",Oral temperature 101.5° F (38.6° C) Pulse 100/minute Respirations 22/minute Blood pressure 130/80 Pulse oximetry reading 96% on room air,"Lumbar puncture stat CBC, BMP IV fluids: 0.9% Normal Saline at 125 mL/hr Ceftriaxone 2 grams IV every 12 hours Acetaminophen 650 mg PO every 6 hours PRN fever",The nurse prepares to administer ceftriaxone as prescribed.,Select the appropriate nursing interventions and considerations for administering ceftriaxone.,1. Polyethylene Glycol; 2. Senna; 3. Abdominal X-ray;,"1a) Laxative
1b) Antacid
1c) Diuretic
2a) Laxative
2b) Antiemetic
2c) Analgesic
3a) Diagnostic test
3b) Imaging technique
3c) Screening test","1a). Monitor for signs of extrapyramidal symptoms.
1b). Assess for improvement in agitation.
1c). Instruct the client to report any signs of tardive dyskinesia.
2a). Monitor for signs of hypotension.
2b). Assess for relief of urinary symptoms.
2c). Instruct the client to take the medication 30 minutes after the same meal each day.
3a). Monitor for signs of gastrointestinal discomfort.
3b). Assess for improvement in hemoglobin and hematocrit levels.
3c). Instruct the client to take the medication with vitamin C to enhance absorption.","1c). Instruct the client to report any signs of tardive dyskinesia.
2b). Assess for relief of urinary symptoms.
3a). Monitor for signs of gastrointestinal discomfort.","Ceftriaxone is a cephalosporin antibiotic used to treat bacterial infections by inhibiting cell wall synthesis. The nurse must monitor the client for signs of allergic reaction, such as rash and difficulty breathing, assess for improvement in symptoms, and instruct the client to complete the full course of antibiotics to prevent the development of resistant bacteria.",Medium,4/6,5 mins,Neurological,Meningitis Management,Safe and Effective Care Environment,Infection Control,Multiple Choice,,"Nurses Note: 1100, Client with severe abdominal pain and bloating",history of IBS.,"Vital Signs: Blood pressure 120/70, Pulse 88.",Orders: Polyethylene glycol for constipation relief.,Client Teaching: Mix with 8 ounces of water.,close_drop_down_2
The following scenario applies to the next 1 items,"0800: Client presents with complaints of severe pain and redness in the right eye. He has a history of glaucoma and is on latanoprost eye drops. Upon assessment, the right eye appears red and swollen with decreased visual acuity.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 18/minute Blood pressure 120/80 Pulse oximetry reading 98% on room air,"Ophthalmology consult stat CBC, BMP Latanoprost 0.005% eye drops once daily Acetaminophen 650 mg PO every 6 hours PRN pain",The nurse prepares to administer latanoprost as prescribed.,Select the appropriate nursing interventions and considerations for administering latanoprost.,1. Ceftriaxone; 2. Acetaminophen; 3. Lumbar Puncture;,"1a) Antibiotic
1b) Antiviral
1c) Antifungal
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Diagnostic test
3b) Therapeutic procedure
3c) Monitoring tool","1a). Monitor for signs of improved breathing.
1b). Assess for relief of allergic symptoms.
1c). Instruct the client to seek emergency care if symptoms worsen.
2a). Monitor for signs of liver toxicity.
2b). Assess for relief of pain and swelling.
2c). Instruct the client not to exceed the recommended daily dose.
3a). Monitor for signs of gastrointestinal bleeding.
3b). Assess for relief of symptoms.
3c). Instruct the client to take the medication before meals.","1c). Instruct the client to seek emergency care if symptoms worsen.
2b). Assess for relief of pain and swelling.
3a). Monitor for signs of gastrointestinal bleeding.","Latanoprost is a prostaglandin analog used to treat glaucoma by increasing the outflow of aqueous humor, thereby reducing intraocular pressure. The nurse must monitor the client for signs of eye irritation, assess for improvement in intraocular pressure, and instruct the client to administer the eye drops in the evening for optimal effectiveness.",Medium,3/6,4 mins,Ophthalmology,Glaucoma Management,Physiological Integrity,Eye Care,Multiple Choice,,"Nurses Note: 0700, Client with severe headache, fever",history of meningitis.,"Vital Signs: Blood pressure 130/80, Pulse 100.",Orders: Ceftriaxone for bacterial infection.,Client Teaching: Complete the full course of antibiotics.,close_drop_down_2
The following scenario applies to the next 1 items,"0830: Client reports severe right upper quadrant abdominal pain, nausea, and vomiting. He has a history of gallbladder disease. Upon assessment, the client appears in distress with tenderness and guarding in the right upper quadrant.",Oral temperature 99.5° F (37.5° C) Pulse 90/minute Respirations 18/minute Blood pressure 130/80 Pulse oximetry reading 95% on room air,"Abdominal ultrasound stat CBC, BMP IV fluids: 0.9% Normal Saline at 125 mL/hr Meperidine 50 mg IV every 4 hours PRN pain",The nurse prepares to administer meperidine as prescribed.,Select the appropriate nursing interventions and considerations for administering meperidine.,1. Latanoprost; 2. Acetaminophen; 3. Ophthalmology Consult;,"1a) Antiglaucoma
1b) Analgesic
1c) Antihistamine
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Diagnostic evaluation
3b) Therapeutic procedure
3c) Preventive measure","1a). Monitor for signs of chest pain.
1b). Assess for relief of headache.
1c). Instruct the client to report any signs of tingling or numbness.
2a). Monitor for signs of gastrointestinal upset.
2b). Assess for relief of joint pain and swelling.
2c). Instruct the client to take the medication with food.
3a). Monitor for signs of bleeding.
3b). Assess for improvement in respiratory status.
3c). Instruct the client to avoid activities that increase the risk of bleeding.","1b). Assess for relief of headache.
2a). Monitor for signs of gastrointestinal upset.
3c). Instruct the client to avoid activities that increase the risk of bleeding.","Meperidine is an opioid analgesic used for moderate to severe pain management. It acts on the central nervous system to reduce pain perception. The nurse must monitor the client for adverse effects such as respiratory depression, sedation, and confusion.",Medium,3/6,4 mins,Gastrointestinal,Pain Management,Safe and Effective Care Environment,Pain Assessment,Multiple Choice,,"Nurses Note: 0800, Client with severe right eye pain and swelling",history of glaucoma.,"Vital Signs: Blood pressure 120/80, Pulse 84.",Orders: Latanoprost for glaucoma.,Client Teaching: Administer eye drops in the evening.,close_drop_down_2
The following scenario applies to the next 1 items,"0700: Client reports increased frequency and urgency of urination, along with burning sensation. She has a history of recurrent urinary tract infections (UTIs). Upon assessment, the client appears uncomfortable and reports suprapubic tenderness.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 18/minute Blood pressure 120/70 Pulse oximetry reading 98% on room air,Urinalysis with culture and sensitivity IV fluids: 0.9% Normal Saline at 125 mL/hr Ciprofloxacin 500 mg PO BID for 7 days,The nurse prepares to administer ciprofloxacin as prescribed.,Select the appropriate nursing interventions and considerations for administering ciprofloxacin.,1. Meperidine; 2. IV Fluids; 3. Abdominal Ultrasound;,"1a) Opioid analgesic
1b) Sedative
1c) Anesthetic
2a) Intravenous solution
2b) Blood product
2c) Nutritional supplement
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). Monitor for signs of drowsiness.
1b). Assess for relief of muscle spasms.
1c). Instruct the client to avoid alcohol and other CNS depressants.
2a). Monitor for signs of electrolyte imbalance.
2b). Assess for relief of constipation.
2c). Instruct the client to mix the powder with 8 ounces of water.
3a). Monitor for signs of allergic reaction.
3b). Assess for improvement in symptoms.
3c). Instruct the client to complete the full course of antibiotics.","1c). Instruct the client to avoid alcohol and other CNS depressants.
2b). Assess for relief of constipation.
3a). Monitor for signs of allergic reaction.","Ciprofloxacin is a fluoroquinolone antibiotic used to treat bacterial infections by inhibiting DNA gyrase and topoisomerase IV. The nurse must monitor the client for signs of allergic reaction, such as rash and difficulty breathing, assess for improvement in symptoms, and instruct the client to complete the full course of antibiotics to prevent the development of resistant bacteria.",Medium,4/6,5 mins,Renal,UTI Management,Physiological Integrity,Infection Control,Multiple Choice,,"Nurses Note: 0830, Client with severe right upper quadrant pain",history of gallbladder disease.,"Vital Signs: Blood pressure 130/80, Pulse 90.",Orders: Meperidine for pain management.,Client Teaching: Report any signs of tingling or numbness.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client presents with complaints of severe low back pain and numbness in the right leg. He has a history of sciatica. Upon assessment, the client appears in moderate distress with limited range of motion in the lumbar spine.",Oral temperature 98.7° F (37.1° C) Pulse 88/minute Respirations 18/minute Blood pressure 130/80 Pulse oximetry reading 98% on room air,"MRI of the lumbar spine stat CBC, BMP Naproxen 500 mg PO BID PRN pain Cyclobenzaprine 10 mg PO every 8 hours PRN muscle spasm",The nurse prepares to administer naproxen as prescribed.,Select the appropriate nursing interventions and considerations for administering naproxen.,1. Ciprofloxacin; 2. Urinalysis; 3. IV Fluids;,"1a) Antibiotic
1b) Antiviral
1c) Antifungal
2a) Diagnostic test
2b) Screening test
2c) Monitoring tool
3a) Intravenous solution
3b) Blood product
3c) Nutritional supplement","1a). Monitor for signs of eye irritation.
1b). Assess for improvement in intraocular pressure.
1c). Instruct the client to administer the eye drops in the evening.
2a). Monitor for signs of respiratory depression.
2b). Assess for relief of pain.
2c). Instruct the client to report any signs of confusion or agitation.
3a). Monitor for signs of allergic reaction.
3b). Assess for improvement in symptoms.
3c). Instruct the client to complete the full course of antibiotics.","1b). Assess for improvement in intraocular pressure.
2a). Monitor for signs of respiratory depression.
3c). Instruct the client to complete the full course of antibiotics.","Naproxen is a nonsteroidal anti-inflammatory drug (NSAID) used to manage pain and inflammation by inhibiting prostaglandin synthesis. The nurse must monitor the client for signs of gastrointestinal bleeding, such as tarry stools and abdominal pain, and assess for relief of pain and inflammation. Naproxen should be taken with food to reduce gastric irritation.",Medium,3/6,4 mins,Musculoskeletal,Pain and Inflammation Management,Safe and Effective Care Environment,Pain Management,Multiple Choice,,"Nurses Note: 0700, Client with increased urination and burning sensation",history of UTIs.,"Vital Signs: Blood pressure 120/70, Pulse 84.",Orders: Ciprofloxacin for bacterial infection.,Client Teaching: Complete the full course of antibiotics.,close_drop_down_2
The following scenario applies to the next 1 items,"0730: Client reports severe sore throat, fever, and swollen lymph nodes. She has a history of streptococcal pharyngitis. Upon assessment, the client appears in mild distress with enlarged and erythematous tonsils.",Oral temperature 101.2° F (38.4° C) Pulse 94/minute Respirations 18/minute Blood pressure 120/70 Pulse oximetry reading 98% on room air,Throat culture stat CBC Penicillin V 500 mg PO every 6 hours for 10 days Acetaminophen 650 mg PO every 6 hours PRN fever,The nurse prepares to administer penicillin as prescribed.,Select the appropriate nursing interventions and considerations for administering penicillin.,1. Naproxen; 2. Cyclobenzaprine; 3. MRI;,"a) NSAID
1b) Opioid analgesic
1c) Antipyretic
2a) Muscle relaxant
2b) Analgesic
2c) Anti-inflammatory
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). Monitor for signs of gastrointestinal bleeding.
1b). Assess for relief of pain and inflammation.
1c). Instruct the client to take with food to reduce gastric irritation.
2a). Monitor for signs of allergic reaction.
2b). Assess for improvement in symptoms.
2c). Instruct the client to complete the full course of antibiotics.
3a). Monitor blood pressure before and after administration.
3b). Instruct the client to sit or lie down during administration.
3c). Assess for relief of chest pain.","1a). Monitor for signs of gastrointestinal bleeding.
2c). Instruct the client to complete the full course of antibiotics.
3c). Assess for relief of chest pain.","Penicillin V is a beta-lactam antibiotic used to treat bacterial infections by inhibiting cell wall synthesis. The nurse must monitor the client for signs of allergic reaction, such as rash and difficulty breathing, assess for improvement in symptoms, and instruct the client to complete the full course of antibiotics to prevent the development of resistant bacteria.",Medium,4/6,5 mins,Respiratory,Pharyngitis Management,Physiological Integrity,Infection Control,Multiple Choice,,"Nurses Note: 0900, Client with severe low back pain",history of sciatica.,"Vital Signs: Blood pressure 130/80, Pulse 88.",Orders: Naproxen for pain and inflammation.,Client Teaching: Take with food to prevent gastric irritation.,close_drop_down_2
The following scenario applies to the next 1 items,"1100: Client reports chest pain and palpitations. He has a history of myocardial infarction and is on atorvastatin and aspirin. Upon assessment, the client appears anxious and diaphoretic.",Oral temperature 98.4° F (36.9° C) Pulse 110/minute Respirations 20/minute Blood pressure 140/90 Pulse oximetry reading 94% on room air,ECG Stat Troponin level stat Nitroglycerin 0.4 mg sublingual every 5 minutes up to 3 doses Metoprolol 25 mg PO BID,The nurse prepares to administer nitroglycerin as prescribed.,Select the appropriate nursing interventions and considerations for administering nitroglycerin.,1. Penicillin V; 2. Acetaminophen; 3. Throat Culture;,"1a) Antibiotic
1b) Antiviral
1c) Antifungal
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Diagnostic test
3b) Screening test
3c) Monitoring tool","1a). Monitor for signs of allergic reaction.
1b). Assess for improvement in symptoms.
1c). Instruct the client to complete the full course of antibiotics.
2a). Monitor for signs of eye irritation.
2b). Assess for relief of allergic symptoms.
2c). Instruct the client to avoid rubbing the eyes.
3a). Monitor for signs of dry mouth and dizziness.
3b). Assess for relief of abdominal cramping.
3c). Instruct the client to avoid activities that require mental alertness.","1a). Monitor for signs of allergic reaction.
2b). Assess for relief of allergic symptoms.
3c). Instruct the client to avoid activities that require mental alertness.","Nitroglycerin is a vasodilator used to manage chest pain (angina) by dilating coronary arteries and reducing myocardial oxygen demand. The nurse must monitor the client's blood pressure before and after administration, as nitroglycerin can cause significant hypotension. The client should be instructed to sit or lie down during administration to prevent falls. The nurse must also assess for relief of chest pain.",Medium,4/6,5 mins,Cardiovascular,Chest Pain Management,Safe and Effective Care Environment,Cardiac Care,Multiple Choice,,"Nurses Note: 0730, Client with severe sore throat and fever",history of pharyngitis.,"Vital Signs: Blood pressure 120/70, Pulse 94.",Orders: Penicillin for bacterial infection.,Client Teaching: Complete the full course of antibiotics.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client presents with complaints of severe right lower quadrant abdominal pain, fever, and nausea. He has a history of appendicitis. Upon assessment, the client appears in moderate distress with guarding and rebound tenderness.",Oral temperature 100.8° F (38.2° C) Pulse 100/minute Respirations 20/minute Blood pressure 130/80 Pulse oximetry reading 97% on room air,"Abdominal ultrasound stat CBC, BMP IV fluids: 0.9% Normal Saline at 125 mL/hr Morphine 4 mg IV every 4 hours PRN pain Ceftriaxone 1 gram IV every 12 hours",The nurse prepares to administer ceftriaxone as prescribed.,Select the appropriate nursing interventions and considerations for administering ceftriaxone.,1. Nitroglycerin; 2. Metoprolol; 3. ECG;,"1a) Vasodilator
1b) Antianginal
1c) Antihypertensive
2a) Beta-blocker
2b) ACE inhibitor
2c) Calcium channel blocker
3a) Diagnostic test
3b) Monitoring tool
3c) Therapeutic procedure","1a). Monitor for signs of bleeding.
1b). Assess for relief of chest pain.
1c). Instruct the client to chew the tablet for faster absorption.
2a). Monitor for signs of liver toxicity.
2b). Assess for relief of pain and swelling.
2c). Instruct the client not to exceed the recommended daily dose.
3a). Monitor for signs of chest pain.
3b). Assess for relief of headache.
3c). Instruct the client to report any signs of tingling or numbness.","1b). Assess for relief of chest pain.
2a). Monitor for signs of liver toxicity.
3c). Instruct the client to report any signs of tingling or numbness.","Ceftriaxone is a cephalosporin antibiotic used to treat bacterial infections by inhibiting cell wall synthesis. The nurse must monitor the client for signs of allergic reaction, such as rash and difficulty breathing, assess for improvement in symptoms, and instruct the client to complete the full course of antibiotics to prevent the development of resistant bacteria.",Medium,4/6,5 mins,Gastrointestinal,Appendicitis Management,Safe and Effective Care Environment,Infection Control,Multiple Choice,,"Nurses Note: 1100, Client with chest pain and palpitations",history of myocardial infarction.,"Vital Signs: Blood pressure 140/90, Pulse 110.",Orders: Nitroglycerin for angina.,Client Teaching: Sit or lie down during administration.,close_drop_down_2
The following scenario applies to the next 1 items,"0800: Client reports severe itching, redness, and swelling of the left eye after exposure to pollen. She has a history of allergic conjunctivitis. Upon assessment, the left eye appears red and swollen with increased tearing.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 18/minute Blood pressure 120/70 Pulse oximetry reading 98% on room air,"Ophthalmic consult stat CBC, BMP Olopatadine 0.1% eye drops BID Diphenhydramine 25 mg PO every 6 hours PRN itching",The nurse prepares to administer olopatadine as prescribed.,Select the appropriate nursing interventions and considerations for administering olopatadine.,1. Ceftriaxone; 2. Morphine; 3. IV Fluids;,"1a) Antibiotic
1b) Antiviral
1c) Antifungal
2a) Opioid analgesic
2b) Sedative
2c) Anesthetic
3a) Intravenous solution
3b) Blood product
3c) Nutritional supplement","1a). Monitor for signs of rash.
1b). Assess for relief of joint pain and swelling.
1c). Instruct the client to take the medication with food.
2a). Monitor for signs of allergic reaction.
2b). Assess for relief of symptoms.
2c). Instruct the client to report any signs of tendon pain or inflammation.
3a). Monitor for signs of liver toxicity.
3b). Assess for relief of pain and fever.
3c). Instruct the client not to exceed the recommended daily dose.","1b). Assess for relief of joint pain and swelling.
2a). Monitor for signs of allergic reaction.
3c). Instruct the client not to exceed the recommended daily dose.","Olopatadine is an antihistamine used to treat allergic conjunctivitis by blocking histamine receptors in the eyes, reducing itching and redness. The nurse must monitor the client for signs of eye irritation, assess for relief of allergic symptoms, and instruct the client to avoid rubbing the eyes to prevent further irritation.",Medium,3/6,4 mins,Ophthalmology,Allergic Conjunctivitis Management,Physiological Integrity,Allergy Control,Multiple Choice,,"Nurses Note: 0900, Client with right lower quadrant pain",history of appendicitis.,"Vital Signs: Blood pressure 130/80, Pulse 100.",Orders: Ceftriaxone for bacterial infection.,Client Teaching: Complete the full course of antibiotics.,close_drop_down_2
The following scenario applies to the next 1 items,"1000: Client presents with complaints of severe abdominal cramping and diarrhea. He has a history of irritable bowel syndrome (IBS). Upon assessment, the client appears in mild distress with hyperactive bowel sounds.",Oral temperature 98.7° F (37.1° C) Pulse 88/minute Respirations 18/minute Blood pressure 120/70 Pulse oximetry reading 98% on room air,"CBC, BMP Stool culture Dicyclomine 20 mg PO every 6 hours PRN abdominal cramping Loperamide 2 mg PO after each loose stool",The nurse prepares to administer dicyclomine as prescribed.,Select the appropriate nursing interventions and considerations for administering dicyclomine.,1. Olopatadine; 2. Diphenhydramine; 3. Ophthalmic Consult;,"1a) Antihistamine
1b) Decongestant
1c) Anticholinergic
2a) Antihistamine
2b) Sedative
2c) Antiemetic
3a) Diagnostic evaluation
3b) Therapeutic procedure
3c) Preventive measure","1a). Monitor for signs of gastrointestinal bleeding.
1b). Assess for relief of pain and swelling.
1c). Instruct the client to take with food to reduce gastric irritation.
2a). Monitor for signs of gastrointestinal bleeding.
2b). Assess for relief of pain and swelling.
2c). Instruct the client to take with food to reduce gastric irritation.
3a). Monitor for signs of electrolyte imbalance.
3b). Assess for relief of constipation.
3c). Instruct the client to mix the powder with 8 ounces of water.","1a). Monitor for signs of gastrointestinal bleeding.
2c). Instruct the client to take with food to reduce gastric irritation.
3b). Assess for relief of constipation.","Dicyclomine is an anticholinergic used to treat abdominal cramping associated with irritable bowel syndrome (IBS) by relaxing smooth muscles in the gastrointestinal tract. The nurse must monitor the client for signs of dry mouth and dizziness, assess for relief of abdominal cramping, and instruct the client to avoid activities that require mental alertness, such as driving, until they know how the medication affects them.",Medium,3/6,4 mins,Gastrointestinal,IBS Management,Physiological Integrity,Symptom Relief,Multiple Choice,,"Nurses Note: 0800, Client with itching and swelling",history of allergic conjunctivitis.,"Vital Signs: Blood pressure 120/70, Pulse 84.",Orders: Olopatadine for eye allergies.,Client Teaching: Avoid rubbing the eyes.,close_drop_down_2
The following scenario applies to the next 1 items,"1100: Client reports severe chest pain and shortness of breath. He has a history of coronary artery disease and is on atorvastatin and aspirin. Upon assessment, the client appears diaphoretic and anxious.",Oral temperature 98.4° F (36.9° C) Pulse 100/minute Respirations 22/minute Blood pressure 150/90 Pulse oximetry reading 93% on room air,ECG Stat Troponin level stat Aspirin 325 mg PO once Nitroglycerin 0.4 mg sublingual every 5 minutes up to 3 doses Morphine 2 mg IV every 4 hours PRN chest pain,The nurse prepares to administer aspirin as prescribed.,Select the appropriate nursing interventions and considerations for administering aspirin.,1. Dicyclomine; 2. Loperamide; 3. Stool Culture;,"1a) Antispasmodic
1b) Antiemetic
1c) Analgesic
2a) Antidiarrheal
2b) Antiemetic
2c) Laxative
3a) Diagnostic test
3b) Screening test
3c) Monitoring tool","1a). Monitor for signs of allergic reaction.
1b). Assess for relief of symptoms.
1c). Instruct the client to complete the full course of medication.
2a). Monitor for signs of hypotension.
2b). Assess for relief of symptoms.
2c). Instruct the client to take the medication at the same time each day.
3a). Monitor for signs of headache and dizziness.
3b). Assess for relief of nausea and vomiting.
3c). Instruct the client to report any signs of irregular heartbeat.","1b). Assess for relief of symptoms.
2a). Monitor for signs of hypotension.
3c). Instruct the client to report any signs of irregular heartbeat.","Aspirin is an antiplatelet agent used to reduce the risk of clot formation in clients with coronary artery disease. The nurse must monitor the client for signs of bleeding, such as bruising and tarry stools, assess for relief of chest pain, and instruct the client to chew the tablet for faster absorption in the case of an acute myocardial infarction.",Medium,4/6,5 mins,Cardiovascular,Coronary Artery Disease Management,Safe and Effective Care Environment,Clot Prevention,Multiple Choice,,"Nurses Note: 1000, Client with abdominal cramping and diarrhea",history of IBS.,"Vital Signs: Blood pressure 120/70, Pulse 88.",Orders: Dicyclomine for abdominal cramping.,Client Teaching: Avoid activities requiring mental alertness.,close_drop_down_2
The following scenario applies to the next 1 items,"0700: Client presents with complaints of severe pain and swelling in the right knee after a fall. He denies any previous injuries to the knee. Upon assessment, the right knee is swollen, tender, and has limited range of motion.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 16/minute Blood pressure 120/80 Pulse oximetry reading 98% on room air,"X-ray of the right knee stat CBC, BMP Acetaminophen 650 mg PO every 6 hours PRN pain Ibuprofen 400 mg PO every 6 hours PRN swelling",The nurse prepares to administer acetaminophen as prescribed.,Select the appropriate nursing interventions and considerations for administering acetaminophen.,1. Aspirin; 2. Nitroglycerin; 3. Morphine;,"1a) Antiplatelet
1b) NSAID
1c) Antipyretic
2a) Vasodilator
2b) Antianginal
2c) Antihypertensive
3a) Opioid analgesic
3b) Sedative
3c) Anesthetic","1a). Monitor for signs of allergic reaction.
1b). Assess for improvement in symptoms.
1c). Instruct the client to complete the full course of antibiotics.
2a). Monitor for signs of gastrointestinal bleeding.
2b). Assess for relief of pain and swelling.
2c). Instruct the client to take with food to reduce gastric irritation.
3a). Monitor for signs of liver toxicity.
3b). Assess for relief of pain and swelling.
3c). Instruct the client not to exceed the recommended daily dose.","1b). Assess for improvement in symptoms.
2a). Monitor for signs of gastrointestinal bleeding.
3c). Instruct the client not to exceed the recommended daily dose.","Acetaminophen is an analgesic used to manage pain and reduce fever by inhibiting the synthesis of prostaglandins in the central nervous system. The nurse must monitor the client for signs of liver toxicity, such as jaundice and elevated liver enzymes, and assess for relief of pain and swelling. The client should be instructed not to exceed the recommended daily dose to prevent liver damage.",Medium,3/6,4 mins,Musculoskeletal,Pain and Swelling Management,Safe and Effective Care Environment,Pain Management,Multiple Choice,,"Nurses Note: 1100, Client with chest pain and shortness of breath",history of coronary artery disease.,"Vital Signs: Blood pressure 150/90, Pulse 100.",Orders: Aspirin for chest pain.,Client Teaching: Chew the tablet for faster absorption.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client presents with complaints of severe headache, nausea, and sensitivity to light. He has a history of migraines. Upon assessment, the client appears in moderate distress with photophobia and nuchal rigidity.",Oral temperature 98.6° F (37° C) Pulse 90/minute Respirations 18/minute Blood pressure 130/80 Pulse oximetry reading 98% on room air,"MRI of the head stat CBC, BMP Sumatriptan 6 mg subcut once Ondansetron 4 mg IV every 6 hours PRN nausea",The nurse prepares to administer sumatriptan as prescribed.,Select the appropriate nursing interventions and considerations for administering sumatriptan.,1. Acetaminophen; 2. Ibuprofen; 3. X-ray;,"1a) Analgesic
1b) Antipyretic
1c) NSAID
2a) NSAID
2b) Opioid analgesic
2c) Antipyretic
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). Monitor for signs of gastrointestinal bleeding.
1b). Assess for relief of pain and swelling.
1c). Instruct the client to take with food to reduce gastric irritation.
2a). Monitor for signs of electrolyte imbalance.
2b). Assess for relief of constipation.
2c). Instruct the client to mix the powder with 8 ounces of water.
3a). Monitor for signs of constipation.
3b). Assess for relief of diarrhea.
3c). Instruct the client to take the medication after each loose stool.","1a). Monitor for signs of gastrointestinal bleeding.
2b). Assess for relief of constipation.
3c). Instruct the client to take the medication after each loose stool.","Sumatriptan is a serotonin receptor agonist used to treat acute migraine attacks by causing vasoconstriction of cranial blood vessels. The nurse must monitor the client for signs of chest pain, assess for relief of headache, and instruct the client to report any signs of tingling or numbness.",Medium,3/6,4 mins,Neurological,Migraine Management,Safe and Effective Care Environment,Headache Relief,Multiple Choice,,"Nurses Note: 0700, Client with severe knee pain and swelling after a fall.","Vital Signs: Blood pressure 120/80, Pulse 84.",Orders: Acetaminophen for pain management.,Client Teaching: Do not exceed the recommended daily dose.,Safety: Monitor for signs of liver toxicity.,close_drop_down_2
